n,sparse_p,dense_p
5,0.4289786716302236,0.7215385437011719
9,0.3393966282407443,0.7662080725034078
13,0.5575423041979471,0.6154269774754842
18,0.49386770526568097,0.5470609466234843
23,0.38177606960137683,0.4612901012102763
28,0.3807714482148488,0.36331531902154285
33,0.3215893755356471,0.3362022489309311
38,0.38638392090797424,0.23896987736225128
43,0.213409552971522,0.19235618909200033
48,0.3534139444430669,0.16564051558574042
53,0.26570676018794376,0.12114447851975758
58,0.32526707152525586,0.10391518597801526
63,0.2158366640408834,0.08836589256922404
67,0.2644418478012085,0.055467055489619575
